geneid,pval.1v2,pval.1v3,pval.2v3,padj.1v2,padj.1v3,padj.2v3,l2fc.1v2,l2fc.1v3,l2fc.2v3,grp1_median,grp2_median,grp3_median,external_gene_name,description,entrezgene_id
ENSG00000096968,2.51504E-13,4.69205E-08,0.006506615,8.77417E-11,3.61042E-05,0.125895263,1.545714517,1.021001131,-0.524713387,2628,967,1346,JAK2,Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192],3717
ENSG00000105048,2.89527E-13,0.00095437,1.61959E-06,9.84168E-11,0.020696619,0.000712539,2.006922801,0.803399844,-1.203522957,1954,671,1089,TNNT1,"troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]",7138
ENSG00000267577,3.6627E-13,0.001047303,1.66619E-06,1.21391E-10,0.021446779,0.000712539,1.779450527,0.705570041,-1.073880486,350,129.5,262,AC010327.4,"novel transcript, antisense to C19orf51 and SYT5",
ENSG00000135956,4.59033E-13,0.000769559,3.08757E-06,1.48424E-10,0.018351713,0.00120388,0.348513665,0.143244017,-0.205269648,3612,3042,3189,TMEM127,transmembrane protein 127 [Source:HGNC Symbol;Acc:HGNC:26038],55654
ENSG00000125648,4.87495E-13,2.24685E-06,0.000863451,1.53874E-10,0.000367735,0.041624636,0.44362727,0.256790447,-0.186836824,3411,2501.5,2662,SLC25A23,solute carrier family 25 member 23 [Source:HGNC Symbol;Acc:HGNC:19375],79085
ENSG00000077522,6.38793E-13,7.79792E-07,0.002014319,1.96941E-10,0.000195051,0.065935359,0.587968909,0.357682563,-0.230286346,101298,68445.5,71672,ACTN2,actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164],88
ENSG00000058866,6.82979E-13,0.00253972,7.67882E-07,2.05442E-10,0.038649708,0.000420468,0.865669323,0.32158264,-0.544086683,1944,1112.5,1530,DGKG,diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853],1608
ENSG00000170606,6.97361E-13,5.1305E-06,0.000571307,2.05442E-10,0.000653991,0.033364859,0.652707511,0.366791133,-0.285916378,4292,2896.5,3105,HSPA4,heat shock protein family A (Hsp70) member 4 [Source:HGNC Symbol;Acc:HGNC:5237],3308
ENSG00000135414,7.61745E-13,2.41484E-05,0.000169289,2.14861E-10,0.001788462,0.017002017,1.061696868,0.552013984,-0.509682883,864,405,508,GDF11,growth differentiation factor 11 [Source:HGNC Symbol;Acc:HGNC:4216],10220
ENSG00000138835,7.48997E-13,1.40319E-05,0.000269476,2.14861E-10,0.001256902,0.023804131,0.494000912,0.264735143,-0.229265768,3656,2727,2783,RGS3,regulator of G protein signaling 3 [Source:HGNC Symbol;Acc:HGNC:9999],5998
ENSG00000143847,8.04158E-13,8.13594E-07,0.002188407,2.22098E-10,0.000199737,0.069075516,1.11895132,0.681620843,-0.437330477,2065,874.5,1133,PPFIA4,PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248],8497
ENSG00000100979,9.43632E-13,3.56026E-06,0.000887313,2.55301E-10,0.000518663,0.042161684,-1.193349016,-0.688205347,0.505143669,377,1080,565,PLTP,phospholipid transfer protein [Source:HGNC Symbol;Acc:HGNC:9093],5360
ENSG00000162139,1.04582E-12,9.5334E-05,5.77046E-05,2.77289E-10,0.004675045,0.008315111,0.775469809,0.374268625,-0.401201184,694,410,478,NEU3,neuraminidase 3 [Source:HGNC Symbol;Acc:HGNC:7760],10825
ENSG00000012817,1.07784E-12,0.990483102,1.71952E-14,2.80176E-10,0.997484015,5.69893E-11,11.35608006,0.015408829,-11.34067123,1115,0,1153,KDM5D,lysine demethylase 5D [Source:HGNC Symbol;Acc:HGNC:11115],8284
ENSG00000175084,1.3768E-12,0.0001007,6.51644E-05,3.51004E-10,0.004795261,0.008998792,0.517513172,0.251514828,-0.265998344,285358,216557.5,249052,DES,desmin [Source:HGNC Symbol;Acc:HGNC:2770],1674
ENSG00000204103,1.4539E-12,9.74001E-06,0.000529481,3.63667E-10,0.001008776,0.032800584,-1.327569001,-0.741523075,0.586045926,99,255.5,159,MAFB,MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408],9935
ENSG00000128591,2.17745E-12,2.45405E-05,0.000314646,5.34564E-10,0.001799795,0.02490122,1.04525631,0.556109196,-0.489147114,72322,38037,50616,FLNC,filamin C [Source:HGNC Symbol;Acc:HGNC:3756],2318
ENSG00000159348,2.31457E-12,0.000202944,4.46031E-05,5.57895E-10,0.007494234,0.007039325,0.660870882,0.309749562,-0.35112132,4353,2908.5,3352,CYB5R1,cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397],51706
ENSG00000169271,2.75504E-12,1.67628E-09,0.070261366,6.52206E-10,6.32645E-06,0.387161926,-0.755550021,-0.577216154,0.178333867,3425,6136.5,4666,HSPB3,heat shock protein family B (small) member 3 [Source:HGNC Symbol;Acc:HGNC:5248],8988
ENSG00000178104,3.08128E-12,0.000697126,1.33839E-05,7.16642E-10,0.017306744,0.003775107,0.638391151,0.274854686,-0.363536465,42315,30096.5,33930,PDE4DIP,phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:HGNC:15580],9659
ENSG00000152518,4.5016E-12,1.60823E-05,0.000692719,1.02893E-09,0.0013409,0.036881032,-0.383310787,-0.212392995,0.170917793,1628,2221,1762,ZFP36L2,ZFP36 ring finger protein like 2 [Source:HGNC Symbol;Acc:HGNC:1108],678
ENSG00000167378,4.94144E-12,0.00032497,4.53867E-05,1.09181E-09,0.010546756,0.007078716,0.409049381,0.188001329,-0.221048052,1547,1252.5,1333,IRGQ,immunity related GTPase Q [Source:HGNC Symbol;Acc:HGNC:24868],126298
ENSG00000168135,4.89515E-12,0.003963753,1.76879E-06,1.09181E-09,0.051248849,0.000732776,1.850826209,0.681782915,-1.169043294,1120,327.5,652,KCNJ4,potassium inwardly rectifying channel subfamily J member 4 [Source:HGNC Symbol;Acc:HGNC:6265],3761
ENSG00000213190,5.53089E-12,0.077670403,5.15668E-09,1.20202E-09,0.292688044,5.08499E-06,2.552596791,0.577926412,-1.974670379,1962,300,1074,MLLT11,MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997],10962
ENSG00000131504,6.23658E-12,2.57795E-05,0.000557432,1.33352E-09,0.001837414,0.033364859,0.90140306,0.48805626,-0.4133468,2420,1370.5,1416,DIAPH1,diaphanous related formin 1 [Source:HGNC Symbol;Acc:HGNC:2876],1729
ENSG00000131002,6.98209E-12,0.948049346,9.98506E-14,1.46923E-09,0.979777198,2.64744E-10,10.38556993,-0.079067003,-10.46463694,551,0,597,TXLNGY,"taxilin gamma pseudogene, Y-linked [Source:HGNC Symbol;Acc:HGNC:18473]",
ENSG00000143367,8.31185E-12,1.14287E-05,0.00120826,1.72172E-09,0.001130675,0.048756004,0.785420546,0.441101165,-0.344319381,213,133.5,151,TUFT1,tuftelin 1 [Source:HGNC Symbol;Acc:HGNC:12422],7286
ENSG00000171160,9.04141E-12,0.010257401,6.46956E-07,1.84403E-09,0.08932875,0.0003729,0.731509836,0.240551547,-0.490958289,311,181,254,MORN4,MORN repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:24001],118812
ENSG00000128595,9.2877E-12,2.33601E-05,0.000760707,1.86556E-09,0.001759571,0.038787285,0.563126485,0.309363695,-0.25376279,11102,7538,8419,CALU,calumenin [Source:HGNC Symbol;Acc:HGNC:1458],813
ENSG00000138347,1.00021E-11,3.79426E-06,0.002935806,1.97907E-09,0.00053013,0.081936814,0.679173356,0.40832487,-0.270848485,7439,4932.5,5558,MYPN,myopalladin [Source:HGNC Symbol;Acc:HGNC:23246],84665
ENSG00000130234,1.10124E-11,5.17485E-10,0.156390707,2.14693E-09,3.43015E-06,0.53816194,1.396227998,1.129917553,-0.266310445,1483,543.5,544,ACE2,angiotensin I converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557],59272
ENSG00000171408,1.12374E-11,0.000887419,2.46989E-05,2.15905E-09,0.019932095,0.005270519,-1.555282525,-0.675204845,0.88007768,537,1799.5,821,PDE7B,phosphodiesterase 7B [Source:HGNC Symbol;Acc:HGNC:8792],27115
ENSG00000067992,1.24246E-11,6.49491E-05,0.00037027,2.35305E-09,0.003543334,0.026823304,0.950267892,0.487153153,-0.463114738,156,82.5,104,PDK3,pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811],5165
ENSG00000161544,1.44913E-11,7.22033E-08,0.030273107,2.70578E-09,4.3878E-05,0.2686506,-0.724313162,-0.513313125,0.211000038,557,978.5,757,CYGB,cytoglobin [Source:HGNC Symbol;Acc:HGNC:16505],114757
ENSG00000103994,1.4919E-11,0.000229669,0.000132334,2.74696E-09,0.008172452,0.014263065,0.666925121,0.32239156,-0.344533562,46437,30427,35873,ZNF106,zinc finger protein 106 [Source:HGNC Symbol;Acc:HGNC:12886],64397
ENSG00000075711,1.72556E-11,1.50986E-05,0.00151104,3.13366E-09,0.001307843,0.056269252,0.47402063,0.269471281,-0.204549349,1510,1175,1255,DLG1,discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900],1739
ENSG00000090565,1.77391E-11,8.795E-09,0.074367551,3.17794E-09,1.05996E-05,0.395694227,0.41240264,0.312011118,-0.100391522,1184,1005,948,RAB11FIP3,RAB11 family interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:17224],9727
ENSG00000123131,1.95757E-11,1.25302E-05,0.001886139,3.4602E-09,0.001167253,0.062983733,-0.587519571,-0.34039844,0.247121131,609,920.5,715,PRDX4,peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169],10549
ENSG00000047578,2.0515E-11,0.000419911,8.79478E-05,3.57851E-09,0.012370576,0.010999279,0.682096682,0.316049868,-0.366046814,522,369,436,KIAA0556,KIAA0556 [Source:HGNC Symbol;Acc:HGNC:29068],23247
ENSG00000198909,2.14195E-11,1.82473E-08,0.060527454,3.68777E-09,1.72789E-05,0.362590359,0.501058981,0.372561446,-0.128497535,1836,1446,1330,MAP3K3,mitogen-activated protein kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6855],4215
ENSG00000057019,2.79016E-11,4.07248E-07,0.017292327,4.74219E-09,0.000134972,0.204135692,0.554319287,0.373179667,-0.18113962,2507,1766,1858,DCBLD2,"discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]",131566
ENSG00000140557,2.83013E-11,7.68804E-06,0.00298244,4.74925E-09,0.000877143,0.082889323,1.784389267,1.052153042,-0.732236225,184,67.5,93,ST8SIA2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10870]",8128
ENSG00000166135,4.4716E-11,0.001795047,2.81408E-05,7.41E-09,0.030865028,0.005428448,0.414348871,0.173612543,-0.240736328,2516,1842.5,1982,HIF1AN,hypoxia inducible factor 1 subunit alpha inhibitor [Source:HGNC Symbol;Acc:HGNC:17113],55662
ENSG00000168334,4.94992E-11,4.15395E-05,0.001254618,8.10136E-09,0.002647545,0.049649178,1.020149936,0.563359563,-0.456790373,19409,11134.5,13659,XIRP1,xin actin binding repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14301],165904
ENSG00000163975,5.1352E-11,5.33168E-07,0.018845402,8.30212E-09,0.000165984,0.213910293,2.332695988,1.566924954,-0.765771034,342,55,85,MELTF,melanotransferrin [Source:HGNC Symbol;Acc:HGNC:7037],4241
ENSG00000186432,5.38421E-11,0.000229941,0.000301378,8.59982E-09,0.008172452,0.02455896,0.361881003,0.179850985,-0.182030018,6021,4609.5,5039,KPNA4,karyopherin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6397],3840
ENSG00000282917,6.19739E-11,3.00466E-09,0.159003609,9.78081E-09,6.63168E-06,0.540317263,-3.168583991,-2.547483901,0.621100091,109,1394,540,AC107068.2,"novel transcript, antisense to CORIN and NFXL1",
ENSG00000020129,7.13198E-11,9.21257E-06,0.004521874,1.11234E-08,0.000969294,0.103713638,0.530713476,0.319233914,-0.211479561,1565,1010,1213,NCDN,neurochondrin [Source:HGNC Symbol;Acc:HGNC:17597],23154
ENSG00000186469,8.5402E-11,6.32829E-07,0.023101737,1.31648E-08,0.000174624,0.235222521,-0.989444473,-0.67585924,0.313585233,236,444,339,GNG2,G protein subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:4404],54331
ENSG00000196220,1.15971E-10,0.000360815,0.000315065,1.76716E-08,0.011207989,0.02490122,0.811161614,0.394979728,-0.416181886,411,235,297,SRGAP3,SLIT-ROBO Rho GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:19744],9901
ENSG00000109189,1.25315E-10,0.000109008,0.000984076,1.88157E-08,0.004948464,0.043925564,0.583441113,0.310504336,-0.272936777,3001,1971,2154,USP46,ubiquitin specific peptidase 46 [Source:HGNC Symbol;Acc:HGNC:20075],64854
ENSG00000198585,1.26318E-10,1.24471E-05,0.004976096,1.88157E-08,0.001167253,0.110499329,0.592939041,0.356506473,-0.236432568,3273,2453,2664,NUDT16,nudix hydrolase 16 [Source:HGNC Symbol;Acc:HGNC:26442],131870
ENSG00000139998,1.53404E-10,0.006049835,1.33097E-05,2.25964E-08,0.065205416,0.003775107,1.608172056,0.608270144,-0.999901912,605,167.5,339,RAB15,"RAB15, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:20150]",376267
ENSG00000164603,1.72442E-10,4.5703E-07,0.035446701,2.51216E-08,0.000147777,0.284603444,0.581279828,0.405643805,-0.175636023,764,528,589,BMT2,base methyltransferase of 25S rRNA 2 homolog [Source:HGNC Symbol;Acc:HGNC:26475],154743
ENSG00000117153,1.94752E-10,0.00013145,0.001111843,2.80634E-08,0.005532175,0.047091711,0.352706077,0.187141516,-0.165564562,1236,1023,1050,KLHL12,kelch like family member 12 [Source:HGNC Symbol;Acc:HGNC:19360],59349
ENSG00000072195,2.09984E-10,0.000579519,0.000289068,2.99282E-08,0.015334707,0.024101724,0.669606684,0.32098205,-0.348624633,5239,3729.5,4069,SPEG,striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901],10290
ENSG00000099725,2.12208E-10,0.918521112,1.36423E-11,2.99282E-08,0.967955247,2.32929E-08,10.07560533,0.131303968,-9.944301367,293,0,265,PRKY,protein kinase Y-linked (pseudogene) [Source:HGNC Symbol;Acc:HGNC:9444],
ENSG00000241935,2.34579E-10,0.001617479,0.000100663,3.27348E-08,0.028514524,0.012131714,1.292366529,0.565939046,-0.726427483,404,161,273,HOGA1,4-hydroxy-2-oxoglutarate aldolase 1 [Source:HGNC Symbol;Acc:HGNC:25155],112817
ENSG00000067048,2.58647E-10,0.923629846,1.40562E-11,3.5494E-08,0.969433884,2.32929E-08,11.18613933,0.140300454,-11.04583887,1418,0,1430,DDX3Y,DEAD-box helicase 3 Y-linked [Source:HGNC Symbol;Acc:HGNC:2699],8653
ENSG00000181016,2.59706E-10,0.000375641,0.000476018,3.5494E-08,0.011523798,0.031534782,1.444928251,0.706656607,-0.738271644,102,40,70,LSMEM1,leucine rich single-pass membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:22036],286006
ENSG00000152104,2.6392E-10,8.46657E-06,0.009198464,3.57019E-08,0.000930349,0.150362567,0.761556571,0.474686188,-0.286870383,1721,1037.5,1113,PTPN14,protein tyrosine phosphatase non-receptor type 14 [Source:HGNC Symbol;Acc:HGNC:9647],5784
ENSG00000172403,2.97704E-10,0.004278392,3.58344E-05,3.98653E-08,0.053410819,0.006233623,0.480170471,0.192780336,-0.287390135,13067,9347.5,10271,SYNPO2,synaptopodin 2 [Source:HGNC Symbol;Acc:HGNC:17732],171024
ENSG00000180354,3.2732E-10,1.25084E-06,0.028875085,4.33928E-08,0.000251248,0.265042334,0.77747858,0.530545268,-0.246933311,2058,1216.5,1325,MTURN,"maturin, neural progenitor differentiation regulator homolog [Source:HGNC Symbol;Acc:HGNC:25457]",222166
ENSG00000112782,3.41036E-10,0.013312848,7.45385E-06,4.47635E-08,0.10487114,0.002470392,0.541948817,0.189168412,-0.352780405,16496,11846,13785,CLIC5,chloride intracellular channel 5 [Source:HGNC Symbol;Acc:HGNC:13517],53405
ENSG00000140545,3.503E-10,2.30459E-06,0.021906362,4.55287E-08,0.000372585,0.229938751,0.645245179,0.430187829,-0.215057351,9997,6422,6840,MFGE8,milk fat globule-EGF factor 8 protein [Source:HGNC Symbol;Acc:HGNC:7036],4240
ENSG00000165152,3.65503E-10,0.001013155,0.000234153,4.70435E-08,0.021118542,0.021556691,0.443058808,0.20546931,-0.237589498,2582,1922.5,2159,PGAP4,post-GPI attachment to proteins GalNAc transferase 4 [Source:HGNC Symbol;Acc:HGNC:28180],84302
ENSG00000225190,4.40734E-10,0.039162723,1.40319E-06,5.61809E-08,0.199838421,0.000664361,0.37538125,0.109166514,-0.266214736,677,556.5,610,PLEKHM1,pleckstrin homology and RUN domain containing M1 [Source:HGNC Symbol;Acc:HGNC:29017],9842
ENSG00000154556,4.60699E-10,7.28156E-08,0.108537515,5.81665E-08,4.3878E-05,0.464305208,0.612220505,0.468409858,-0.143810648,44817,31830.5,33839,SORBS2,sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098],8470
ENSG00000114853,5.23615E-10,9.21467E-08,0.104267452,6.31051E-08,4.88635E-05,0.458161621,0.723142025,0.550505321,-0.172636704,4131,2830.5,3007,ZBTB47,zinc finger and BTB domain containing 47 [Source:HGNC Symbol;Acc:HGNC:26955],92999
ENSG00000153823,5.14024E-10,6.93912E-06,0.014644307,6.31051E-08,0.000828756,0.189334063,-0.984104012,-0.634454848,0.349649164,171,327,244,PID1,phosphotyrosine interaction domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26084],55022
ENSG00000160808,5.12563E-10,1.3699E-08,0.19299227,6.31051E-08,1.51339E-05,0.580493919,-0.460569624,-0.372586402,0.087983223,78124,114429.5,97217,MYL3,myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584],4634
